time,choke,Q,WHP,FLP,BHP,target
0,34.0,91.02555133169818,252.32518556122702,181.66877803981237,3016.737586882147,100.0
1,34.0,92.6169636463185,253.62699761687907,183.0503017867432,3027.5434587421137,100.0
2,33.9,93.75596197519418,255.2972409896003,183.17973959985716,3033.958377913035,100.0
3,33.8,95.18145209873163,255.17919761611802,182.64895952415804,3039.6781920591216,100.0
4,33.699999999999996,95.40756611779715,256.56196092766965,182.629486539101,3042.5619557459254,100.0
5,33.699999999999996,97.37109150989752,257.45271777699986,183.13353369100852,3045.2576076903515,100.0
6,33.599999999999994,97.52104584413881,258.46703566522785,182.93465815424597,3052.9923789766517,100.0
7,33.599999999999994,97.57148437634262,259.1208449200837,183.0623072594225,3064.5118644307663,100.0
8,33.599999999999994,98.04164184735966,259.1966669236243,183.91301923476337,3066.2331283567214,100.0
9,33.599999999999994,98.5912151483497,258.66879781340305,183.52840373513328,3071.95209244133,100.0
10,33.49999999999999,99.43048687248636,259.60588083317595,183.82718096682265,3075.797288302472,100.0
11,33.49999999999999,98.47135376442387,259.8685362945528,183.91904623841447,3083.3716273514274,100.0
12,33.49999999999999,99.01151659299033,259.4135907120288,184.40633861610493,3086.1866808682985,100.0
13,33.49999999999999,98.71143269675905,260.57634775539947,185.1942389982469,3092.6233030936464,100.0
14,33.49999999999999,98.34578986306,261.00253130994963,185.5099639474878,3098.710752925838,100.0
15,33.49999999999999,98.30745608498094,261.4630560174615,185.0347350171435,3098.02635113749,100.0
16,33.49999999999999,99.21882312930315,262.8902263518242,185.16268473111504,3103.7940150348854,100.0
17,33.49999999999999,99.64033015696658,262.83842584305677,185.49841617599304,3110.688777886811,100.0
18,33.49999999999999,99.69736132853681,264.25080660951704,184.2378014501526,3114.9875855286678,100.0
19,33.49999999999999,99.83403299167648,264.27674241813946,184.5604664885986,3110.79160188582,100.0
20,38.49999999999999,99.72269913580284,264.7328447251041,185.55956406367653,3111.1828711946027,200.0
21,43.49999999999999,100.80145804008333,263.69337519458577,185.451019893048,3110.8974169088015,200.0
22,48.49999999999999,103.49376398054507,262.56075346388826,184.25406851401166,3109.3827516516044,200.0
23,53.49999999999999,107.18583488168527,260.1203673934735,182.28948547576175,3097.790480014892,200.0
24,58.49999999999999,112.55581256090602,257.4606319806111,180.12372890486287,3087.5227304108644,200.0
25,63.39999999999999,117.32975993221905,253.7673664694135,177.39702834371747,3073.2529855971184,200.0
26,63.29999999999999,123.74564549625534,250.1668305247589,175.53995152593612,3059.835310322017,200.0
27,63.19999999999999,129.30389815467328,246.66684607143094,171.9731453577102,3046.891104799947,200.0
28,63.19999999999999,133.70595880733512,245.24695799479957,169.8079573636996,3035.9250441236936,200.0
29,63.09999999999999,137.2624524393648,241.5872694224667,168.6347133284596,3027.0839454721863,200.0
30,63.099999999999994,140.76258089754864,238.5216237410698,167.77149632888307,3012.694125088696,200.0
31,62.99999999999999,143.4964490605491,237.8414254085435,165.78241383948358,3001.804352966465,200.0
32,63.0,145.36056072972585,235.47613519857654,163.7890604248154,2993.632949971861,200.0
33,62.9,146.0477277396259,234.0176894682014,162.39797768641446,2990.3791462255513,200.0
34,62.800000000000004,146.7854205266148,232.21321358200768,162.1128126468953,2979.337095666019,200.0
35,62.70000000000001,148.09884322321258,231.70144026349092,160.62148501035475,2973.29637747019,200.0
36,62.600000000000016,149.17231964903263,230.9172038352797,159.5414030963247,2963.3866797351784,200.0
37,62.50000000000002,150.21579614502252,229.91740022281803,159.39682669485282,2959.12581918768,200.0
38,62.40000000000003,150.16582460605696,229.003176414265,159.3078226152267,2952.156693228346,200.0
39,62.30000000000003,151.95109248816053,228.3672183224228,158.47273442176612,2949.7566781903333,200.0
40,62.30000000000004,151.31600721953234,228.02600905950126,158.9879493218898,2943.298381721516,200.0
41,62.20000000000004,152.20769508078837,227.47555170784898,159.25733921180674,2945.227531474399,200.0
42,62.200000000000045,152.02773880556006,226.23372573221167,158.6132332869544,2939.1819970578604,200.0
43,62.200000000000045,152.0023650967153,225.8520705734909,158.66409932264838,2938.3665152110384,200.0
44,62.200000000000045,152.04724141663138,226.24685972769487,158.42647203548017,2943.120180066242,200.0
45,62.200000000000045,152.53145002909108,225.07286555702063,157.80226882577094,2941.0091402228804,200.0
46,62.200000000000045,152.3104082976733,225.0658672940258,158.06682249507045,2937.4389393340975,200.0
47,62.100000000000044,151.67331348427166,223.58860466424682,157.81673663159825,2936.8379141906285,200.0
48,62.10000000000005,151.89100581767025,222.47013921768493,157.93682792829503,2934.9729242578433,200.0
49,62.10000000000005,151.26880592335544,222.39920116785817,157.9806247265842,2928.7991113357684,200.0
50,62.00000000000005,151.6627254598852,222.60477943390924,158.55131889187183,2929.4763732993956,200.0
51,62.00000000000006,150.68829181368037,221.8160695374655,158.76174742275472,2928.5941449353368,200.0
52,62.00000000000006,151.26737324625938,224.27648445932795,158.9722930701091,2929.586809745364,200.0
53,62.00000000000006,152.06477593536403,224.35149926647463,158.69309193454822,2929.409863685308,200.0
54,62.00000000000006,151.4609809403095,223.8319869272715,158.36382354143475,2927.275710953651,200.0
55,62.00000000000006,153.217522314967,222.29392102809635,158.6890640181885,2920.3687834730704,200.0
56,61.900000000000055,152.63010416791943,222.8773137290229,158.6461639975378,2915.531530308586,200.0
57,61.90000000000006,151.93660389118872,223.1434809746932,158.20950118430338,2914.881873363554,200.0
58,61.80000000000006,151.92083460414628,222.50157679251635,159.32750798294637,2915.4952698025218,200.0
59,61.90000000000006,150.36421854179108,222.50144999472505,158.8463984988512,2916.7612420712435,200.0
