time,choke,Q,WHP,FLP,BHP,target
0,34.0,91.02555133169818,252.32518556122702,181.66877803981237,3016.737586882147,100.0
1,34.0,92.6169636463185,253.62699761687907,183.0503017867432,3027.5434587421137,100.0
2,33.9,93.75596197519418,255.2972409896003,183.17973959985716,3033.958377913035,100.0
3,33.8,95.18145209873163,255.17919761611802,182.64895952415804,3039.6781920591216,100.0
4,33.699999999999996,95.40756611779715,256.56196092766965,182.629486539101,3042.5619557459254,100.0
5,33.699999999999996,97.37109150989752,257.45271777699986,183.13353369100852,3045.2576076903515,100.0
6,33.599999999999994,97.52104584413881,258.46703566522785,182.93465815424597,3052.9923789766517,100.0
7,33.599999999999994,97.57148437634262,259.1208449200837,183.0623072594225,3064.5118644307663,100.0
8,33.599999999999994,98.04164184735966,259.1966669236243,183.91301923476337,3066.2331283567214,100.0
9,33.599999999999994,98.5912151483497,258.66879781340305,183.52840373513328,3071.95209244133,100.0
10,33.49999999999999,99.43048687248636,259.60588083317595,183.82718096682265,3075.797288302472,100.0
11,33.49999999999999,98.47135376442387,259.8685362945528,183.91904623841447,3083.3716273514274,100.0
12,33.49999999999999,99.01151659299033,259.4135907120288,184.40633861610493,3086.1866808682985,100.0
13,33.49999999999999,98.71143269675905,260.57634775539947,185.1942389982469,3092.6233030936464,100.0
14,33.49999999999999,98.34578986306,261.00253130994963,185.5099639474878,3098.710752925838,100.0
15,33.49999999999999,98.30745608498094,261.4630560174615,185.0347350171435,3098.02635113749,100.0
16,33.49999999999999,99.21882312930315,262.8902263518242,185.16268473111504,3103.7940150348854,100.0
17,33.49999999999999,99.64033015696658,262.83842584305677,185.49841617599304,3110.688777886811,100.0
18,33.49999999999999,99.69736132853681,264.25080660951704,184.2378014501526,3114.9875855286678,100.0
19,33.49999999999999,99.83403299167648,264.27674241813946,184.5604664885986,3110.79160188582,100.0
20,38.49999999999999,99.72269913580284,264.7328447251041,185.55956406367653,3111.1828711946027,150.0
21,43.49999999999999,100.80145804008333,263.69337519458577,185.451019893048,3110.8974169088015,150.0
22,48.49999999999999,103.49376398054507,262.56075346388826,184.25406851401166,3109.3827516516044,150.0
23,53.49999999999999,107.18583488168527,260.1203673934735,182.28948547576175,3097.790480014892,150.0
24,58.49999999999999,112.55581256090602,257.4606319806111,180.12372890486287,3087.5227304108644,150.0
25,63.3,117.32975993221905,253.7673664694135,177.39702834371747,3073.2529855971184,150.0
26,63.0,123.71363949625534,250.1843945247589,175.5535075259361,3059.897560322017,150.0
27,62.6,129.18151809271328,246.73515668279094,172.0255058143902,3047.1354821149466,150.0
28,62.3,133.41312324550117,245.41308652284533,169.93445582839982,3036.5247739792817,150.0
29,62.0,136.73320150050463,241.8930735547461,168.8658260492175,3028.1993893886984,150.0
30,61.8,139.97459206924708,238.98676100765792,168.11995398391838,3014.4114861399685,150.0
31,61.599999999999994,142.43133618223024,238.48337607148432,166.25919702068117,3004.20343278607,150.0
32,61.49999999999999,144.03518585636974,236.29287940609004,164.39008422209378,2996.725374124062,150.0
33,61.4,144.4759794714374,235.00743108729074,163.11971874228098,2994.1756769602102,150.0
34,61.300000000000004,145.01074434803866,233.35679141936666,162.93867595981186,2983.785446028322,150.0
35,61.30000000000001,146.15702344196654,232.98181541958402,161.5371568936447,2978.348143334588,150.0
36,61.20000000000001,147.1248363680115,232.30166063908396,160.52098156581877,2968.934801466486,150.0
37,61.20000000000002,148.08128206577666,231.39441059103294,160.43152651214555,2965.133437399221,150.0
38,61.100000000000016,147.9916327395453,230.5449251140964,160.3765102486362,2958.5274357114977,150.0
39,61.10000000000002,149.74421961538954,229.96653493626087,159.57073756621082,2956.4635793366865,150.0
40,61.00000000000002,149.1142223091458,229.65895336519063,160.0976819740677,2950.254228388741,150.0
41,61.00000000000003,149.97809492149938,229.15596310224018,160.39074491628975,2952.476086968116,150.0
42,61.00000000000003,149.8072343383601,227.9387827605601,159.75350170924216,2946.6392748206144,150.0
43,61.00000000000003,149.78935238726137,227.57904348537946,159.81028704492428,2946.0170155271308,150.0
44,61.00000000000003,149.84039936836257,227.99332111986266,159.57776533157482,2950.949554228862,150.0
45,61.00000000000003,150.32969050761398,226.83665688539193,158.95796583245146,2949.0041050601844,150.0
46,61.00000000000003,150.11283505021348,226.8450690948667,159.22631783424262,2945.5871980825837,150.0
47,61.00000000000003,149.4791883032689,225.38151007362657,158.97950814649442,2945.1280832444522,150.0
48,61.00000000000003,149.7317266710855,224.2576664239218,159.08886924303846,2943.33221535773,150.0
49,61.00000000000003,149.13822806147945,224.18194586073224,159.12341092178988,2937.222391478578,150.0
50,61.00000000000003,149.55578769817242,224.38327132460057,159.6861222688226,2937.9588906588006,150.0
51,61.00000000000003,148.63283145686805,223.57321566634383,159.87610937947608,2937.0692505556326,150.0
52,61.10000000000003,149.25431276876733,226.0146490829717,160.06902368863996,2938.055054022297,150.0
53,61.00000000000003,150.11864454247294,226.0552207764036,159.76105899494968,2937.809506142237,150.0
54,61.00000000000003,149.53797035724082,225.52264424276072,159.42053717004282,2935.6740959617287,150.0
55,61.00000000000003,151.31355541811664,223.972961139322,159.7360712242718,2928.7660044104487,150.0
56,60.90000000000003,150.74182279365965,224.54602335752915,159.68479912300083,2923.9276736191546,150.0
57,60.900000000000034,150.0612420544659,224.8030043247461,159.24091513906902,2923.2770190718797,150.0
58,61.000000000000036,150.05611407371114,224.15293133631738,160.35269346135038,2923.8894919905474,150.0
59,61.00000000000003,148.57227482969284,224.11041250925467,159.839099729539,2925.0301093195867,150.0
